;x;y;Information
3;823.208;-996.739;
4;816.705;-996.517;
5;806.519;-996.517;
6;802.197;-996.958;
7;800.1;-997.876;
8;787.469;-1010.805;
9;775.309;-1037.841;
10;777.411;-1040.706;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46585;;;
1;827.764;-921.242;
2;827.764;-913.187;
3;819.591;-913.187;
4;808.743;-913.148;
5;799.512;-913.187;
6;798.248;-913.716;
7;792.897;-917.362;
8;779.256;-941.205;
9;771.094;-956.347;
10;772.822;-958.897;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB5467;;;
1;829.688;-835.984;
2;825.091;-830.934;
3;819.353;-830.529;
4;804.19;-828.543;
5;803.176;-828.543;
6;800.908;-829.567;
7;796.674;-832.389;
8;784.093;-840.914;
9;762.672;-865.775;
10;767.174;-870.873;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
QUARHIS11_7;;;
1;993.207;-1165.578;
2;993.207;-1162.835;
3;966.789;-1163.056;
4;960.923;-1162.835;
5;959.246;-1162.835;
6;956.405;-1163.324;
7;954.901;-1164.011;
8;940.349;-1182.15;
9;927.944;-1201.095;
10;928.82;-1201.87;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
TDB020;;;
1;994.289;-1122.169;
2;994.289;-1117.671;
3;990.762;-1118.553;
4;968.522;-1114.866;
5;967.317;-1114.866;
6;959.924;-1116.576;
7;954.337;-1119.17;
8;943.225;-1128.784;
9;931.62;-1144.19;
10;932.972;-1145.505;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB021;;;
1;994.572;-1070.858;
2;994.572;-1065.168;
3;986.664;-1064.552;
4;972.509;-1062.993;
5;968.761;-1063.041;
6;963.552;-1063.81;
7;960.667;-1065.01;
8;947.418;-1073.459;
9;932.909;-1093.215;
10;933.715;-1093.741;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB63622;;;
1;1079.864;-946.885;
2;1079.864;-939.683;
3;1073.033;-939.683;
4;1061.861;-939.683;
5;1054.346;-939.683;
6;1052.217;-940.991;
7;1048.408;-944.18;
8;1035.62;-958.968;
9;1022.85;-986.367;
10;1024.074;-988.291;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB5470;;;
1;976.783;-888.956;
2;976.783;-882.672;
3;961.526;-881.741;
4;952.926;-880.726;
5;951.955;-880.754;
6;950.825;-881.212;
7;944.857;-885.827;
8;940.182;-890.884;
9;922.044;-917.105;
10;925.807;-920.106;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63706;;;
1;972.91;-784.612;
2;972.91;-779.144;
3;961.209;-778.32;
4;947.263;-777.225;
5;946.152;-777.252;
6;942.86;-778.637;
7;939.612;-780.78;
8;929.577;-798.664;
9;921.234;-818.533;
10;923.078;-821.076;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB9244;;;
1;1180.127;-1160.671;
2;1180.127;-1153.847;
3;1178.562;-1153.791;
4;1157.954;-1152.248;
5;1150.452;-1152.231;
6;1146.112;-1154.527;
7;1140.506;-1159.083;
8;1126.848;-1176.541;
9;1115.895;-1198.68;
10;1117.937;-1201.901;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63703;;;
1;1181.045;-1096.166;
2;1181.045;-1090.845;
3;1163.669;-1089.868;
4;1156.913;-1088.876;
5;1155.435;-1088.876;
6;1154.278;-1089.215;
7;1152.879;-1089.962;
8;1133.35;-1115.471;
9;1123.343;-1135.491;
10;1125.417;-1138.432;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB5428;;;
1;1179.667;-1021.112;
2;1179.667;-1015.968;
3;1168.996;-1015.527;
4;1162.16;-1015.206;
5;1158.478;-1015.206;
6;1157.292;-1015.322;
7;1154.265;-1016.118;
8;1134.628;-1032.313;
9;1122.121;-1052.072;
10;1125.47;-1054.996;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB9226;;;
1;1248.114;-913.711;
2;1248.114;-906.391;
3;1238.967;-906.026;
4;1230.696;-904.847;
5;1222.052;-904.847;
6;1217.606;-905.741;
7;1214.776;-907.229;
8;1203.223;-919.62;
9;1189.085;-951.353;
10;1191.003;-953.392;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63621;;;
1;1248.114;-806.463;
2;1248.114;-802.009;
3;1245.041;-802.009;
4;1241.513;-802.128;
5;1238.516;-802.128;
6;1223.155;-802.935;
7;1217.603;-804.49;
8;1206.179;-815.322;
9;1194.55;-840.008;
10;1197.194;-842.77;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63694;;;
1;1359.342;-1158.446;
2;1359.342;-1151.332;
3;1355.987;-1151.25;
4;1336.235;-1148.98;
5;1333.178;-1148.98;
6;1330.678;-1150.32;
7;1327.886;-1152.125;
8;1315.767;-1161.38;
9;1297.654;-1199.87;
10;1300.522;-1202.768;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv17 ;;;
1;976.269;-2467.445;
2;976.269;-2454.522;
3;969.675;-2454.359;
4;953.422;-2451.393;
5;945.015;-2451.323;
6;943.819;-2453.666;
7;944.681;-2456.084;
8;912.005;-2482.685;
9;906.066;-2504.097;
10;906.634;-2506.453;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv16 ;;;
1;970.212;-2546.302;
2;970.212;-2531.44;
3;950.5;-2529.721;
4;945.319;-2528.672;
5;942.166;-2528.222;
6;939.652;-2530.074;
7;940.886;-2534.637;
8;909.754;-2557.238;
9;903.167;-2582.903;
10;903.831;-2583.516;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv45;;;
1;980.1;-2393.026;
2;980.1;-2378.503;
3;978.336;-2378.386;
4;956.875;-2374.035;
5;949.761;-2374.035;
6;946.744;-2376.247;
7;947.821;-2378.209;
8;920.131;-2402.137;
9;909.963;-2431.486;
10;911.169;-2432.405;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv35;;;
1;978.103;-2302.584;
2;978.103;-2286.4;
3;965.183;-2285.783;
4;958.171;-2285.386;
5;948.161;-2285.386;
6;945.594;-2287.526;
7;945.956;-2288.826;
8;916.499;-2313.432;
9;907.857;-2338.65;
10;908.844;-2339.825;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv19;;;
1;1130.315;-2297.054;
2;1130.315;-2282.825;
3;1123.494;-2282.825;
4;1106.973;-2280.885;
5;1100.917;-2280.003;
6;1097.724;-2282.825;
7;1098.153;-2286.118;
8;1069.108;-2308.578;
9;1061.051;-2338.038;
10;1061.864;-2338.608;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46524;;;
1;1080.104;-2817.014;
2;1080.104;-2810.62;
3;1069.181;-2810.595;
4;1055.923;-2810.581;
5;1047.605;-2810.62;
6;1044.514;-2813.585;
7;1045.488;-2816;
8;1017.895;-2839.401;
9;1004.156;-2872.052;
10;1007.042;-2874.679;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46519;;;
1;1082.675;-2716.542;
2;1082.675;-2706.485;
3;1061.861;-2705.405;
4;1054.915;-2704.744;
5;1049.675;-2704.744;
6;1047.586;-2706.629;
7;1048.293;-2708.332;
8;1016.838;-2735.898;
9;1004.313;-2766.954;
10;1006.038;-2769.053;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46522;;;
1;1082.674;-2632.318;
2;1082.674;-2623.469;
3;1069.357;-2623.44;
4;1048.514;-2622.499;
5;1044.868;-2622.263;
6;1043.02;-2624.794;
7;1043.898;-2626.938;
8;1015.352;-2658.836;
9;1006.784;-2689.137;
10;1008.574;-2691.128;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46523;;;
1;1249.373;-2815.806;
2;1249.373;-2804.781;
3;1231.146;-2804.047;
4;1218.093;-2802.518;
5;1215.946;-2802.312;
6;1214.712;-2804.781;
7;1215.594;-2807.398;
8;1185.843;-2838.354;
9;1176.864;-2866.026;
10;1178.689;-2868.416;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB142608;;;
1;1300.395;-2725.428;
2;1300.395;-2704.467;
3;1279.551;-2703.673;
4;1269.203;-2702.967;
5;1265.793;-2702.644;
6;1260.795;-2704.437;
7;1260.296;-2707.289;
8;1232.691;-2726.456;
9;1219.934;-2756.597;
10;1221.218;-2758.043;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv34;;;
1;1302.456;-2622.139;
2;1302.456;-2604.912;
3;1292.813;-2604.886;
4;1278.151;-2604.886;
5;1268.883;-2604.912;
6;1266.943;-2606.558;
7;1267.942;-2610.615;
8;1244.482;-2632.428;
9;1234.282;-2666.184;
10;1235.16;-2667.189;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv31;;;
1;1320.703;-2540.721;
2;1320.703;-2525.904;
3;1311.903;-2525.847;
4;1298.542;-2525.847;
5;1290.953;-2525.904;
6;1290.208;-2526.589;
7;1290.281;-2528.726;
8;1264.083;-2546.012;
9;1251.504;-2577.62;
10;1252.67;-2578.594;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63658;;;
1;1448.38;-2637.476;
2;1448.38;-2625.158;
3;1437.238;-2624.541;
4;1429.565;-2623.983;
5;1424.979;-2623.747;
6;1421.962;-2625.661;
7;1421.176;-2630.363;
8;1399.473;-2642.935;
9;1384.719;-2675.656;
10;1386.358;-2675.931;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv18;;;
1;1598.466;-2666.026;
2;1598.466;-2649.313;
3;1581.753;-2648.21;
4;1565.504;-2646.236;
5;1562.806;-2646.049;
6;1559.589;-2650.37;
7;1559.572;-2653.722;
8;1522.575;-2685.781;
9;1513.631;-2712.398;
10;1514.317;-2713.508;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv11;;;
1;1668.289;-2443.878;
2;1668.289;-2430.061;
3;1656.235;-2428.649;
4;1645.299;-2427.062;
5;1643.886;-2427.045;
6;1641.889;-2428.944;
7;1643.3;-2430.649;
8;1623.717;-2443.098;
9;1610.189;-2476.073;
10;1611.476;-2477.273;
Shape;;;Escudella
